"species","arbutus-ridge","downtown","dunbar-southlands","fairview","grandview-woodland","hastings-sunrise","kensington-cedar cottage","kerrisdale","killarney","kitsilano","marpole","mount pleasant","oakridge","renfrew-collingwood","riley park","shaughnessy","south cambie","strathcona","sunset","victoria-fraserview","west end","west point grey"
"ANGUSTIFOLIA",0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ARBOREUM",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BARBATUM",0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"CARPINIFOLIA",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"COLUMA",0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"HUPEHENSIS",0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"NOBILIS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"PSEUDOSIEBOLDIANUM",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"SERRULA",0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,7
"TREMULA",0,0,0,0,0,0,1,1,0,0,1,6,1,0,0,0,0,3,0,0,0,0
"ACUMINATA",0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1
"ASCENDENS",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOREANA",0,0,0,0,0,0,0,3,0,2,1,0,0,3,0,0,0,0,0,0,0,1
"ULMOIDES",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,10,0,0,0
"VEITCHII   X",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VERTICILLATA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"X BIMUNDORUM",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLUTINOSA",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
