"street_block","street_use","neighbourhood","street_length"
"3300-3400 E 28TH AV","Residential","renfrew-collingwood",47.2648044313932
"3200 E 27TH AV","Residential","renfrew-collingwood",53.5380568210565
"1800 W 32ND AV","Residential","shaughnessy",49.1195826748655
"1900 ASPEN AV","Residential","arbutus-ridge",160.79038266946
"4500 VALLEY DRIVE","Residential","arbutus-ridge",87.4322134247388
"5300-5600 EAST BOULEVARD","Residential","shaughnessy",49.5030463411001
"3900 W 39TH AV","Residential","dunbar-southlands",52.8551989111516
"4100 WALLACE ST","Residential","dunbar-southlands",52.7425634552154
"2900 CAMOSUN ST","Residential","west point grey",50.27227244626
"2700 CAMOSUN ST","Residential","west point grey",50.329921449245
"6300-6400 ANGUS DRIVE","Residential","kerrisdale",148.014739704496
"6700 WILTSHIRE ST","Residential","kerrisdale",79.4074785895641
"7000-7200 WILTSHIRE ST","Residential","kerrisdale",210.287642604292
"7900 EAST BOULEVARD","Residential","marpole",49.3369112330214
"7700 ANGUS DRIVE","Collector","marpole",85.1713922627277
"7700 ANGUS DRIVE","Collector","kerrisdale",21.638542512841
"1600 W 54TH AV","Residential","kerrisdale",51.3210661230602
"1600 W 47TH AV","Residential","kerrisdale",51.3138424700527
"2900 E GEORGIA ST","Residential","hastings-sunrise",52.1681473696012
"0 SE MARINE DRIVE","Arterial","marpole",2.23939874867674
"0 SE MARINE DRIVE","Arterial","sunset",45.322858774799
"5100 ARBUTUS ST","Arterial","arbutus-ridge",53.8736775834213
"700 E 37TH AV","Residential","kensington-cedar cottage",43.5337396165144
"1000 E 37TH AV","Residential","kensington-cedar cottage",40.5304293707577
"4700-4800 ROSS ST","Residential","kensington-cedar cottage",162.397911570022
"1200 E 37TH AV","Residential","kensington-cedar cottage",21.0122179941749
"6900 BEATRICE ST","Residential","victoria-fraserview",45.8914341922469
"3700-3800 W 48TH AV","Residential","dunbar-southlands",10.5505839173673
"2500-2800 SLOCAN ST","Residential","renfrew-collingwood",38.8470612779491
"1500 E 19TH AV","Residential","kensington-cedar cottage",60.2219438081152
"3000 NOOTKA ST","Residential","renfrew-collingwood",6.25000008093126
"2200 TOLMIE ST","Residential","west point grey",47.4429211263349
"500-600 E KENT AV SOUTH","Secondary Arterial","sunset",213.069768763948
"2400 SPRUCE ST","Residential","fairview",53.1507367582158
"1800 PINE ST","Residential","fairview",49.008271567523
"1800 CYPRESS ST","Residential","kitsilano",49.008013081441
"1800 W 2ND AV","Residential","kitsilano",171.304932754903
"1900 W 2ND AV","Residential","kitsilano",174.601001171117
"3800-4000 ANGUS DRIVE","Residential","shaughnessy",84.4054843470322
"5600 COLLEGE ST","Residential","renfrew-collingwood",43.8204655833792
"3300 E GEORGIA ST","Residential","hastings-sunrise",55.3260065874667
"2300 BOUNDARY ROAD","Arterial","renfrew-collingwood",134.808230554592
"4000 MACDONALD ST","Secondary Arterial","arbutus-ridge",50.2642400504736
"3200-3400 CARNARVON ST","Residential","arbutus-ridge",240.059155284941
"3200-3400 CARNARVON ST","Residential","kitsilano",4.81873147899363
"3200-3300 BALACLAVA ST","Residential","arbutus-ridge",58.616441558729
"4200 MACDONALD ST","Secondary Arterial","arbutus-ridge",62.9528163691281
"4100 MACDONALD ST","Secondary Arterial","arbutus-ridge",52.8255523862889
"4300 QUESNEL DRIVE","Residential","arbutus-ridge",74.1707928565864
"400 GARDEN DRIVE","Residential","grandview-woodland",54.041420300263
"3200 RUPERT ST","Secondary Arterial","renfrew-collingwood",6.08406911511701
"2400 E 7TH AV","Residential","grandview-woodland",1.18171979346953
"2400 E 7TH AV","Residential","hastings-sunrise",53.3533201438665
"2300 E 6TH AV","Residential","grandview-woodland",57.3539604215044
"700 E 41ST AV","Arterial","kensington-cedar cottage",7.40583189048873
"200 N NANAIMO ST","Arterial","grandview-woodland",31.9741563770679
"700 RENFREW ST","Secondary Arterial","hastings-sunrise",45.2280398003193
"800 RENFREW ST","Secondary Arterial","hastings-sunrise",46.1106462761048
"700 SKEENA ST","Residential","hastings-sunrise",45.3341723296333
"600 SKEENA ST","Residential","hastings-sunrise",45.4332782212855
"900 RUPERT ST","Residential","hastings-sunrise",45.935097802263
"3500 PINE CRESCENT","Residential","shaughnessy",156.628132688077
"1800 W KING EDWARD AV","Arterial","shaughnessy",104.479686489992
"2100 W 16TH AV","Secondary Arterial","kitsilano",30.651875112945
"2100 W 19TH AV","Residential","arbutus-ridge",141.669208131914
"2400 KAMLOOPS ST","Residential","hastings-sunrise",50.6290355543212
"2700 E 15TH AV","Residential","renfrew-collingwood",183.129767938733
"900 BROUGHTON ST","Residential","west end",54.965544788501
"3700 PUGET DRIVE","Residential","arbutus-ridge",64.5963954499871
"3800 BALACLAVA ST","Residential","dunbar-southlands",50.175173322544
"3300-3400 W KING EDWARD AV","Arterial","dunbar-southlands",240.188312788314
"3600-3700 W 18TH AV","Residential","dunbar-southlands",45.41646672678
"3600-3700 W 18TH AV","Residential","dunbar-southlands",165.532562289283
"1500 BURNABY ST","Residential","west end",120.67416496454
"3400 BLAKE ST","Residential","killarney",115.483500564114
"7700-8100 MATHESON CRESCENT","Residential","killarney",62.7102849128652
"3400 E GEORGIA ST","Residential","hastings-sunrise",80.5595660666158
"3600 TURNER ST","Residential","hastings-sunrise",152.398198545421
"3200 TURNER ST","Residential","hastings-sunrise",55.5520635094529
"500 N KOOTENAY ST","Residential","hastings-sunrise",55.242048232827
"2900 WALL ST","Residential","hastings-sunrise",71.6895179652913
"200 N BOUNDARY ROAD","Secondary Arterial","hastings-sunrise",55.3185761380565
"4400 MAGNOLIA ST","Residential","arbutus-ridge",55.3786461208161
"800 BROUGHTON ST","Residential","west end",55.0091719264688
"700 JERVIS ST","Arterial","downtown",3.44120012024767
"700 JERVIS ST","Arterial","west end",61.6442398012651
"1000 EVELEIGH ST","Arterial","downtown",105.744689110287
"400 BUTE ST","Arterial","downtown",64.1902783462451
"1000 HAMILTON ST","Arterial","downtown",164.635803047728
"1300 HOWE ST","Arterial","downtown",25.2318938842975
"500-600 E 29TH AV","Residential","riley park",188.899592187508
"1400 BEACH AV","Arterial","west end",120.639400882823
"1200 CARDERO ST","Residential","west end",55.0026105993558
"1100 JERVIS ST","Residential","west end",55.0460934227001
"800-900 CARDERO ST","Residential","west end",54.9996247699745
"900 BIDWELL ST","Residential","west end",54.9816289769914
"1000-1100 GILFORD ST","Residential","west end",54.9712757902615
"6900-7000 WEST BOULEVARD","Collector","kerrisdale",80.1036379758638
"3000 E 23RD AV","Residential","renfrew-collingwood",96.484013477634
"3100 E 23RD AV","Residential","renfrew-collingwood",43.9112878662078
"3800 KOOTENAY ST","Residential","renfrew-collingwood",49.6595280091454
"3500 E 24TH AV","Residential","renfrew-collingwood",166.549756270723
"2000 W 28TH AV","Residential","arbutus-ridge",103.693230663103
"4100 SALISH DRIVE","Residential","dunbar-southlands",71.6906859589048
"4200 COLLINGWOOD ST","Residential","dunbar-southlands",52.7468185667527
"3200 W 39TH AV","Residential","dunbar-southlands",57.1169834721082
"200 E 10TH AV","Residential","mount pleasant",122.887880790374
"2000 W 49TH AV","Secondary Arterial","kerrisdale",96.1331257047254
"0 E 49TH AV","Secondary Arterial","oakridge",4.15575386403131
"0 E 49TH AV","Secondary Arterial","sunset",39.6069988017127
"6100 QUEBEC ST","Residential","sunset",50.3340322751264
"1500 VERNON DRIVE","Residential","strathcona",201.921814568579
"4900-5000 CHESTER ST","Residential","kensington-cedar cottage",44.4538240429428
"4900-5000 CHESTER ST","Residential","kensington-cedar cottage",178.51870676793
"4700 PRINCE ALBERT ST","Residential","kensington-cedar cottage",47.2532673365413
"700 E 27TH AV","Residential","kensington-cedar cottage",49.688546295984
"1000 E KING EDWARD AV","Arterial","kensington-cedar cottage",45.2973144451997
"1100 E 24TH AV","Residential","kensington-cedar cottage",38.4076263913355
"1200 E 24TH AV","Residential","kensington-cedar cottage",47.1750922624547
"4200 ELGIN ST","Residential","kensington-cedar cottage",132.452508458353
"4400 ROSS ST","Residential","kensington-cedar cottage",47.2870972014963
"4400 W 4TH AV","Arterial","west point grey",20.3976803827117
"1400 SASAMAT ST","Residential","west point grey",83.2162978807707
"1600 SASAMAT ST","Residential","west point grey",87.3176678567921
"4500 BELMONT AV","Residential","west point grey",221.178139702464
"1500-1600 TOLMIE ST","Residential","west point grey",43.2488170938027
"1700 BLANCA ST","Residential","west point grey",63.9080423800878
"4600 W 2ND AV","Residential","west point grey",111.838634369666
"4600 BELMONT AV","Residential","west point grey",53.5733295307803
"1400 SASAMAT ST","Residential","west point grey",56.6962985114191
"4600 W 4TH AV","Arterial","west point grey",223.646376400618
"3600 VANNESS AV","Residential","renfrew-collingwood",123.949625272795
"0 E 10TH AV","Residential","mount pleasant",41.7016133274133
"1600 CHESTNUT ST","Residential","kitsilano",49.0782298490273
"0 E 13TH AV","Residential","mount pleasant",102.487557771523
"2700 COLUMBIA ST","Residential","mount pleasant",51.1618646284142
"200 W 10TH AV","Residential","mount pleasant",108.773230942662
"2500 ONTARIO ST","Residential","mount pleasant",52.6878146436719
"2800 ALBERTA ST","Residential","mount pleasant",53.3385870100739
"400 E 22ND AV","Residential","riley park",37.2846503670708
"2600 E 20TH AV","Residential","renfrew-collingwood",146.698269125829
"800 TERMINAL AV","Residential","strathcona",108.011969327507
"2600-2800 SE MARINE DRIVE","Arterial","killarney",85.0430578110272
"3300 HIGHBURY ST","Residential","dunbar-southlands",50.1972271839139
"2400 ADANAC ST","Residential","grandview-woodland",2.63250757155098
"2400 ADANAC ST","Residential","hastings-sunrise",54.061747304928
"600 N NANAIMO ST","Residential","hastings-sunrise",69.852294973921
"400 N NANAIMO ST","Residential","hastings-sunrise",13.2441169191976
"0 LAKEWOOD DRIVE","Residential","grandview-woodland",50.2960720528238
"0 SEMLIN DRIVE","Residential","grandview-woodland",50.2482172528451
"2300 FRANKLIN ST","Residential","grandview-woodland",92.0660957889755
"400 SEMLIN DRIVE","Residential","grandview-woodland",47.7163429463379
"2000 E HASTINGS ST","Arterial","grandview-woodland",140.669308984436
"1200 LAKEWOOD DRIVE","Residential","grandview-woodland",50.3186046111097
"3100 TRIMBLE ST","Residential","west point grey",60.3076912587934
"900 E 15TH AV","Residential","mount pleasant",12.126091703586
"2600 W 16TH AV","Secondary Arterial","kitsilano",114.358413438073
"3700 QUESNEL DRIVE","Collector","dunbar-southlands",89.801530954566
"3400 TRIUMPH ST","Residential","hastings-sunrise",27.8850079070784
"200 BOUNDARY ROAD","Secondary Arterial","hastings-sunrise",50.2977844955632
"700 BEACH AV","Arterial","downtown",49.6419726655206
"300 HELMCKEN ST","Arterial","downtown",56.7144046076503
"2600 E 5TH AV","Residential","hastings-sunrise",190.756821991823
"2200 E 5TH AV","Residential","grandview-woodland",140.552005073104
"2000 LILLOOET ST","Residential","hastings-sunrise",55.8758935130217
"2200 LILLOOET ST","Residential","hastings-sunrise",50.3637346526303
"900 CHILCO ST","Residential","west end",54.9880150575605
"1000 HARWOOD ST","Residential","west end",206.208206104185
"7500 YEW ST","Residential","kerrisdale",715.292956889709
"200 CASSIAR ST","Residential","hastings-sunrise",50.2783114794517
"300 KOOTENAY ST","Residential","hastings-sunrise",50.2370089582026
"0 N KOOTENAY ST","Residential","hastings-sunrise",50.2071410244914
"1100 CONNAUGHT DRIVE","Residential","shaughnessy",52.2974453175863
"1300-1400 W 32ND AV","Residential","shaughnessy",198.594229211507
"4800 SOPHIA ST","Residential","riley park",63.9010221605399
"5800 ONTARIO ST","Residential","oakridge",58.0857111538072
"5600 ONTARIO ST","Residential","riley park",59.826357775634
"3200 W 30TH AV","Residential","dunbar-southlands",50.2886308609431
"5900 YEW ST","Residential","kerrisdale",48.4055405208737
"2600 W 39TH AV","Residential","arbutus-ridge",62.5694411194685
"5500-5600 BALSAM ST","Residential","arbutus-ridge",72.2744011171364
"5900-6000 BALSAM ST","Residential","kerrisdale",49.8554210478084
"5300 TRAFALGAR ST","Residential","arbutus-ridge",52.5074941026543
"5200 LARCH ST","Collector","arbutus-ridge",55.0276098178682
"100 E 51ST AV","Residential","sunset",49.667688339418
"100 E 49TH AV","Secondary Arterial","sunset",49.6643496380028
"2200 BAYSWATER ST","Residential","kitsilano",44.9386147108762
"3100 W 11TH AV","Residential","kitsilano",92.2677521830036
"1700 TRUTCH ST","Residential","kitsilano",18.862417661122
"2600 BLENHEIM ST","Arterial","kitsilano",52.4979312349808
"3200 W 15TH AV","Residential","kitsilano",140.656600136816
"3300 W 6TH AV","Residential","kitsilano",94.515189917956
"3300 W 11TH AV","Residential","kitsilano",91.085333615841
"2100 BLENHEIM ST","Residential","kitsilano",47.8671438582046
"3400 W 5TH AV","Residential","kitsilano",145.808346544218
"3400 W BROADWAY","Arterial","kitsilano",145.817417136453
"3300 W 11TH AV","Residential","kitsilano",54.6802404729175
"3300 LARCH ST","Residential","arbutus-ridge",56.2385107513454
"3300 LARCH ST","Residential","kitsilano",5.37093066602237
"500 GLEN DRIVE","Residential","strathcona",50.6853017846244
"100 WOODLAND DRIVE","Residential","grandview-woodland",60.0230767038233
"100 MCLEAN DRIVE","Residential","grandview-woodland",65.9635916322333
"200 MCLEAN DRIVE","Residential","grandview-woodland",55.6811560153609
"200 COMMERCIAL DRIVE","Secondary Arterial","grandview-woodland",50.1753193580203
"300 WOODLAND DRIVE","Residential","grandview-woodland",50.3000609958994
"5200 DUNBAR ST","Arterial","dunbar-southlands",52.702060262595
"5200 BLENHEIM ST","Collector","dunbar-southlands",52.8088123421296
"5200 DUNBAR ST","Arterial","dunbar-southlands",52.7810909809876
"1700 E 41ST AV","Arterial","kensington-cedar cottage",101.346643369149
"4200-4400 WELWYN ST","Residential","kensington-cedar cottage",145.310592456386
"1700 KINGSWAY","Arterial","kensington-cedar cottage",82.576797280082
"6200 COLUMBIA ST","Residential","oakridge",50.2888304189383
"100 E 55TH AV","Residential","sunset",64.5219645708018
"100 E 55TH AV","Residential","sunset",45.9905408102259
"700 E 63RD AV","Residential","sunset",50.1915464701644
"7600 FRASER ST","Secondary Arterial","sunset",87.8222311047442
"7800 FRASER ST","Secondary Arterial","sunset",106.228671954369
"400 E 63RD AV","Residential","sunset",191.660595767311
"400 E 63RD AV","Residential","sunset",77.1372370582059
"400 SE MARINE DRIVE","Arterial","sunset",27.8386769795242
"1000 W 71ST AV","Residential","marpole",50.6638397476912
"3800 POINT GREY ROAD","Residential","west point grey",123.377783453835
"3000 DISCOVERY ST","Residential","west point grey",50.2624287210014
"2900 DISCOVERY ST","Residential","west point grey",50.2639207480774
"4200 W 10TH AV","Arterial","west point grey",221.252413324122
"4400 W 14TH AV","Residential","west point grey",221.334517327976
"4300 W 14TH AV","Residential","west point grey",182.930278939396
"4200 W 9TH AV","Residential","west point grey",129.031172765517
"2800 SASAMAT ST","Residential","west point grey",50.245383173127
"4600 W 10TH AV","Arterial","west point grey",222.814496119533
"1300 W 4TH AV","Secondary Arterial","fairview",163.856613624526
"3600 PRINCE EDWARD ST","Residential","riley park",49.7886551345179
"3800 SOPHIA ST","Residential","riley park",49.9061874007296
"3400 CAROLINA ST","Residential","riley park",50.3129008206877
"1400 VENABLES ST","Secondary Arterial","grandview-woodland",63.0705323581421
"800 COMMERCIAL DRIVE","Residential","grandview-woodland",50.240511591454
"800 COMMERCIAL DRIVE","Residential","grandview-woodland",50.6530078469689
"1100 E 21ST AV","Residential","kensington-cedar cottage",104.298287527117
"3600 GLEN DRIVE","Residential","kensington-cedar cottage",29.6955862729406
"1200 E 13TH AV","Residential","mount pleasant",149.622220950394
"3700 GLEN DRIVE","Residential","kensington-cedar cottage",50.1722030714455
"2600 PRINCE ALBERT ST","Residential","mount pleasant",50.261888645451
"2400 FRASER ST","Residential","mount pleasant",55.3391773069895
"700 E BROADWAY","Arterial","mount pleasant",141.241632537522
"2700 ST. CATHERINES ST","Residential","mount pleasant",50.3285439684814
"800 E 16TH AV","Residential","mount pleasant",38.0933774045367
"3400 W 7TH AV","Residential","kitsilano",112.433339858638
"1800 ALMA ST","Arterial","west point grey",49.6662002776432
"2200 W 47TH AV","Residential","kerrisdale",51.4975410678549
"6200 YEW ST","Residential","kerrisdale",49.3725487500792
"6100-6200 VINE ST","Residential","kerrisdale",107.523803864578
"3500 W 23RD AV","Residential","dunbar-southlands",47.3591570116328
"3600 HIGHBURY ST","Residential","dunbar-southlands",50.3091675334474
"3500 QUADRA ST","Residential","dunbar-southlands",50.3211763079207
"3200-3300 COMMERCIAL DRIVE","Secondary Arterial","kensington-cedar cottage",269.965210285233
"3200-3300 FINDLAY ST","Residential","kensington-cedar cottage",50.6260040386061
"2600 WOODLAND DRIVE","Residential","kensington-cedar cottage",35.3981469708151
"1700-1800 E 12TH AV","Secondary Arterial","kensington-cedar cottage",11.4056632418466
"1300-1400 E 12TH AV","Secondary Arterial","kensington-cedar cottage",43.5937570874957
"2900 TEMPLETON DRIVE","Residential","kensington-cedar cottage",50.2412048908054
"2700 SEMLIN DRIVE","Residential","kensington-cedar cottage",22.9763079587011
"2700 SEMLIN DRIVE","Residential","kensington-cedar cottage",50.3735360779211
"3600 ARBOR AV","Residential","killarney",40.4341001629363
"1800 KITCHENER ST","Residential","grandview-woodland",140.842963888855
"2900 E 14TH AV","Residential","renfrew-collingwood",143.78419058062
"2200 E BROADWAY","Arterial","grandview-woodland",130.563657501619
"3400 COPLEY ST","Residential","kensington-cedar cottage",52.7337723469938
"3500 COPLEY ST","Residential","kensington-cedar cottage",35.6204576757803
"400 W 22ND AV","Residential","riley park",49.336330528099
"400 W 22ND AV","Residential","south cambie",2.31975711118174
"2800 CAMBIE ST","Arterial","fairview",104.551473434318
"3500 ASH ST","Residential","south cambie",50.258760441401
"3400 YUKON ST","Residential","riley park",50.2693040033563
"2300 MANITOBA ST","Residential","mount pleasant",50.3165361778011
"1200 PENDRELL ST","Residential","west end",161.347013449122
"1100 DAVIE ST","Arterial","west end",221.190936208192
"5900-6000 BALSAM ST","Residential","kerrisdale",104.20285624257
"2200 W 43RD AV","Residential","kerrisdale",51.3719240158756
"2300 W 39TH AV","Residential","arbutus-ridge",51.1727866152876
"2300 W 39TH AV","Residential","arbutus-ridge",51.2552068375864
"5900-6000 ELM ST","Residential","kerrisdale",154.129413446253
"5100 VINE ST","Residential","arbutus-ridge",53.8769012945454
"5100 LARCH ST","Collector","arbutus-ridge",53.8236171683439
"0-100 E 62ND AV","Residential","marpole",0.481477849628332
"0-100 E 62ND AV","Residential","sunset",46.1991527476365
"6500 VIVIAN ST","Residential","victoria-fraserview",53.995711282461
"6300 VIVIAN ST","Residential","victoria-fraserview",45.3172188254424
"6400 ELLIOTT ST","Collector","victoria-fraserview",61.2330144716941
"2700 E 49TH AV","Secondary Arterial","victoria-fraserview",150.216245260749
"2700 E 50TH AV","Residential","victoria-fraserview",95.3422240617428
"2800 E 51ST AV","Residential","killarney",60.8939298121662
"6300 ARLINGTON ST","Residential","killarney",65.422805388794
"7000 DUMFRIES ST","Residential","victoria-fraserview",47.027467219049
"6600 TODERICK ST","Residential","killarney",16.2110933005693
"6500-6700 BUTLER ST","Residential","killarney",259.772875598464
"2400 ALBERTA ST","Residential","mount pleasant",31.2014353864025
"100 E 56TH AV","Residential","sunset",107.719809885543
"0 E 53RD AV","Residential","oakridge",2.83952972390634
"0 E 53RD AV","Residential","sunset",43.4236899215583
"5400 BALACLAVA ST","Residential","dunbar-southlands",52.8188078072212
"5500-5600 BALACLAVA ST","Residential","dunbar-southlands",163.335728867365
"5900 MACDONALD ST","Collector","kerrisdale",99.3030373839442
"5800 MACDONALD ST","Collector","kerrisdale",49.1429889604445
"7200 BRAEBURN ST","Residential","victoria-fraserview",49.8019839165153
"1700 ARGYLE DRIVE","Collector","victoria-fraserview",132.948503135274
"1300 E 53RD AV","Residential","sunset",50.164039960035
"6900 DUMFRIES ST","Residential","victoria-fraserview",151.085277723952
"6800 FRASER ST","Secondary Arterial","sunset",74.9546753798709
"5600 CARTIER ST","Residential","shaughnessy",58.7051522849055
"1300 W 41ST AV","Arterial","shaughnessy",58.0723590435127
"5600 STAMFORD ST","Residential","renfrew-collingwood",53.8064675663457
"4700 MANOR ST","Residential","renfrew-collingwood",47.3508718611508
"4700 MANOR ST","Residential","renfrew-collingwood",2.39686879026126
"1300 HOWE ST","Arterial","downtown",92.5659718088941
"700 NEON ST","Residential","downtown",54.5850608575777
"650-669 MILLBANK","Residential","fairview",83.5737009181786
"600-649 MILLBANK","Residential","fairview",104.745695650157
"STAMP'S LANDING","Residential","fairview",0.0310161255291487
"1300 SE MARINE DRIVE","Arterial","sunset",38.1747071374577
"1300 SE MARINE DRIVE","Arterial","sunset",45.8174422361631
"1300 SE MARINE DRIVE","Arterial","sunset",49.2027685077547
"1400-1500 SE MARINE DRIVE","Arterial","victoria-fraserview",56.4304923611204
"1400-1500 SE MARINE DRIVE","Arterial","sunset",1.84619292880615
"1400-1500 SE MARINE DRIVE","Arterial","victoria-fraserview",90.4952091386673
"8100 KNIGHT ST ON-RAMP","Arterial","sunset",95.3902662906299
"8100 KNIGHT ST OFF-RAMP","Arterial","sunset",269.973848583782
"8100 KNIGHT ST ON-RAMP","Arterial","sunset",128.405289825913
"8100 KNIGHT ST OFF-RAMP","Arterial","victoria-fraserview",127.216987716742
"8600 KERR ST","Residential","killarney",51.314330357294
"8600 KINROSS ST","Residential","killarney",52.8816421547402
"3100-3200 PIERVIEW CRESCENT","Residential","killarney",259.505988562572
"1600 MAIN ST","Arterial","mount pleasant",50.0370709364058
"1600 QUEBEC ST","Arterial","mount pleasant",80.7374027207287
"0 SMITHE ST","Residential","downtown",142.199905699581
"300 BURRARD ST","Arterial","downtown",81.4436262088618
"7100-7200 GRANVILLE ST","Arterial","oakridge",9.32265423593694
"1800 THORNTON ST","Residential","strathcona",117.524217632049
"3300 NORTH ARM AV","Residential","killarney",161.216204766796
"200 VERNON DRIVE","Residential","strathcona",71.6074311553133
"0 EXPO BOULEVARD","Arterial","downtown",154.179179221073
"1000 QUEBEC ST","Arterial","downtown",43.5854174008563
"900 QUEBEC ST","Arterial","downtown",90.9530740717462
"6800-6900 LA SALLE ST","Residential","killarney",70.8168666500269
"2100 CAMBIE ST","Residential","mount pleasant",58.422599223064
"2100 CAMBIE ST","Residential","mount pleasant",50.3038448330302
"8000-8100 NUNAVUT LANE","Residential","marpole",42.6851191390352
"3400 CROWLEY DRIVE","Residential","renfrew-collingwood",53.303383927688
"5800-6000 CROWN ST","Residential","dunbar-southlands",153.271081242468
"6000-6100 CROWN ST","Residential","dunbar-southlands",108.123976956411
"700 DRAKE ST","Arterial","downtown",49.6413391649933
"200 SKEENA ST","Residential","hastings-sunrise",50.1372715035792
"200 SKEENA ST","Residential","hastings-sunrise",50.3227252268647
"3300 E 54TH AV","Secondary Arterial","killarney",53.2895322742083
"200-300 E 61ST AV","Residential","sunset",206.125936545366
"3200 FIR ST","Residential","shaughnessy",28.0110885382758
"1600 CEDAR CRESCENT","Residential","shaughnessy",194.469225130479
"5200-5300 MCHARDY ST","Residential","renfrew-collingwood",48.5100258700942
"2300-2600 OLIVER CRESCENT","Residential","arbutus-ridge",154.343118498157
"500-600 THURLOW ST","Arterial","downtown",55.1939391611184
"100 UNION ST","Arterial","downtown",54.6490110423721
"400 VICTORIA DRIVE","Collector","grandview-woodland",55.698781191702
"700 VICTORIA DRIVE","Collector","grandview-woodland",43.3296839136788
"800 VICTORIA DRIVE","Collector","grandview-woodland",50.8402645152926
"800 VICTORIA DRIVE","Collector","grandview-woodland",49.6581449922843
"1000 VICTORIA DRIVE","Collector","grandview-woodland",50.1682952670757
"1200 VICTORIA DRIVE","Collector","grandview-woodland",14.2734238700786
"1300 VICTORIA DRIVE","Collector","grandview-woodland",50.5114304887566
"1400 VICTORIA DRIVE","Collector","grandview-woodland",46.9379840295037
"1600 VICTORIA DRIVE","Collector","grandview-woodland",50.1868091936073
"1600 VICTORIA DRIVE","Collector","grandview-woodland",50.5013624566597
"300-400 W 43RD AV","Residential","oakridge",62.2244979401485
"300-400 W 44TH AV","Residential","oakridge",62.4748874332541
"3800-3900 W BROADWAY","Residential","west point grey",340.736812015257
"200-300 WATER ST","Arterial","downtown",60.3330358752925
"200-300 WATER ST","Arterial","downtown",103.053672380436
"700 PACIFIC ST","Arterial","downtown",49.5710585326537
"1400 ROLSTON ST","Residential","downtown",142.360283400225
"8400-8600 CAMBIE ST","Residential","marpole",85.758175055657
"8100-8700 YUKON ST","Residential","marpole",147.246544630693
"8500 RIVER DIST. CROSSING","Residential","killarney",108.700870776521
"8600-8700 RIVER DIST. CROSSING","Residential","killarney",188.431917537835
"3300-3400 SAWMILL CRESCENT","Residential","killarney",163.472604621798
"8400-8500 CORNISH ST","Residential","marpole",173.25333879801
"GRANVILLE BRIDGE","Arterial","downtown",42.0434533546987
"1300 HOWE ST","Arterial","downtown",92.5659718088941
"1600 NAPIER ST","Residential","grandview-woodland",44.8352967771687
"0 E 1ST AV","Residential","mount pleasant",79.3453355719732
"0 E 1ST AV","Residential","mount pleasant",61.5266291931051
"2400 E 33RD AV","Secondary Arterial","renfrew-collingwood",21.5350633150328
"3500 E KENT AV SOUTH","Residential","killarney",200.7144168034
"8500 JACK UPPAL ST","Residential","killarney",77.575403794452
"2100 W KING EDWARD AV","Arterial","arbutus-ridge",51.5770472992867
"300 W 2ND AV","Arterial","mount pleasant",5.89500212199617
"3900 YEW ST","Residential","arbutus-ridge",26.7104646537528
"3900 YEW ST","Residential","arbutus-ridge",37.7703995877049
"2900 WALL ST","Residential","hastings-sunrise",71.2419996109276
"3600 GRAVELEY ST","Residential","hastings-sunrise",127.763125705401
"1600 VALIANT ST","Residential","hastings-sunrise",95.0026191886778
"7600-8000 CHAMPLAIN CRESCENT","Collector","killarney",223.887738884429
"7600-8000 CHAMPLAIN CRESCENT","Collector","killarney",9.80955131434562
"100 E 35TH AV","Residential","riley park",50.2692146039947
"700 W 57TH AV","Collector","oakridge",113.211146059098
"700 W 57TH AV","Collector","oakridge",53.1088110299559
"500 W 57TH AV","Collector","oakridge",133.243297137067
"7400 PAULSON ST","Residential","marpole",93.9647250940838
"5900-6000 CHOY YUEN CRESCENT","Residential","oakridge",73.9078019706738
"5700-5800 CHOY YUEN CRESCENT","Recreational","south cambie",5.51204330802547
"5700-5800 CHOY YUEN CRESCENT","Recreational","oakridge",49.5273085861067
"2300-2400 HOYLAKE AV","Residential","victoria-fraserview",48.0919739665151
"2300-2400 HOYLAKE AV","Residential","victoria-fraserview",111.243507535349
"7700 MUIRFIELD DRIVE","Residential","victoria-fraserview",72.9650173588843
"4700-4800 CLARENDON ST","Residential","renfrew-collingwood",30.4803034082157
"4800 DUCHESS ST","Residential","renfrew-collingwood",44.0696430741927
"2500 WARD ST","Residential","renfrew-collingwood",66.2436982663838
"4700 DUCHESS ST","Residential","renfrew-collingwood",45.4646318133081
"2500 E 34TH AV","Residential","renfrew-collingwood",44.7469899443878
"4900 SLOCAN ST","Residential","renfrew-collingwood",40.0170932275922
"900 PARK DRIVE","Residential","marpole",106.90172146503
"7900 LAUREL ST","Residential","marpole",46.176511973717
"1000 PARK DRIVE","Secondary Arterial","marpole",56.7627108934166
"7800-7900 OSLER ST","Residential","marpole",157.041697171049
"1300 PARK DRIVE","Secondary Arterial","marpole",54.7272014263492
"7700 ADERA ST","Residential","marpole",52.6742766252569
"7800-7900 BIRCH ST","Residential","marpole",163.447472016404
"7700 BIRCH ST","Residential","marpole",139.128133008318
"8100-8200 LORD ST","Residential","marpole",97.2002021094891
"8400 ASH ST","Residential","marpole",59.2445711020989
"700 W 69TH AV","Residential","marpole",95.7311236998314
"300 W 63RD AV","Residential","marpole",91.8704557625074
"400 SW MARINE DRIVE","Arterial","marpole",100.276090480654
"1900 E 31ST AV","Residential","kensington-cedar cottage",49.8336248930013
