"street_block","street_use","neighbourhood","street_length"
"3900 KASLO ST","Residential","renfrew-collingwood",49.5822120215264
"300 N RENFREW ST","Secondary Arterial","hastings-sunrise",55.864693626555
"200-500 N SKEENA ST","Residential","hastings-sunrise",442.237809200449
"300 N KOOTENAY ST","Residential","hastings-sunrise",53.6600626547903
"2500 E 43RD AV","Residential","victoria-fraserview",216.152200600268
"5700 WALES ST","Residential","victoria-fraserview",36.5299557641681
"5800 EARLES ST","Residential","victoria-fraserview",2.79603022259533
"2600 E 47TH AV","Residential","victoria-fraserview",215.296608323032
"1400 E 21ST AV","Residential","kensington-cedar cottage",50.2388746887148
"6400 GRANVILLE ST","Arterial","oakridge",48.0833831684344
"3300 E GEORGIA ST","Residential","hastings-sunrise",61.6161899580006
"3000 E 6TH AV","Residential","hastings-sunrise",184.082382908548
"1700-1800 E 8TH AV","Residential","grandview-woodland",45.7638292093666
"2600 E 7TH AV","Residential","hastings-sunrise",190.985152055673
"500 E KING EDWARD AV","Arterial","riley park",140.76911250015
"4100-4300 JOHN ST","Residential","riley park",44.9722951145481
"4100 SOPHIA ST","Residential","riley park",61.8026915997493
"400 E 26TH AV","Residential","riley park",49.3631615386015
"0 E 27TH AV","Residential","riley park",86.8222845346111
"4200 DINMONT AV","Residential","riley park",52.4896851898778
"100-300 TALISMAN AV","Residential","riley park",139.60537972673
"2800 NANAIMO ST","Arterial","kensington-cedar cottage",76.0171519677128
"7100-7200 ARBUTUS ST","Residential","kerrisdale",124.44056897768
"7400 ARBUTUS ST","Residential","kerrisdale",28.9448076861131
"0 W 48TH AV","Residential","oakridge",45.3695713546627
"6200 ONTARIO ST","Residential","oakridge",50.856161130659
"6000 QUEBEC ST","Residential","sunset",50.2192582187398
"300 GARDEN DRIVE","Residential","grandview-woodland",50.2441060638923
"900 STATION ST","Residential","strathcona",149.074772251432
"600 GORE AV","Residential","strathcona",50.4383866724655
"400 GORE AV","Residential","strathcona",50.7143519133897
"0 GORE AV","Residential","strathcona",26.3850262470842
"100 PRINCESS AV","Residential","strathcona",50.3689545039518
"300 PRINCESS AV","Residential","strathcona",55.2992939381897
"200 ABBOTT ST","Arterial","downtown",56.8459145401409
"100 WATER ST","Arterial","downtown",180.679122497568
"500 W 19TH AV","Residential","south cambie",161.839173099572
"600 W 17TH AV","Residential","south cambie",93.4726775163692
"3800 YUKON ST","Residential","riley park",58.3220213985259
"3800 CAMBIE ST","Arterial","south cambie",123.063676607919
"3500 CAMBIE ST","Arterial","south cambie",111.830964916542
"3300 ASH ST","Residential","south cambie",50.3351683911447
"400 E 10TH AV","Residential","mount pleasant",83.7847055505638
"GRANVILLE BRIDGE","Arterial","fairview",438.187025519092
"6100-6200 ARLINGTON ST","Residential","killarney",90.8180263671673
"5300 WINDSOR ST","Residential","kensington-cedar cottage",50.2003943028878
"600 E 8TH AV","Residential","mount pleasant",113.605182389805
